bulan,kode_outlet,no_penerimaan,no_retur,kode_obat,kode_kreditur,satuan_utuh,isi,qty_retur,harga_satuan,jml_retur,is_konsinyasi
4,BX34,RR11135N02583611A,RE11135N06608520,13021713,1000003564,BT,1,1,0,0,TRUE
4,BX20,RR1112T702153746F,RE1112T70664200K,13091310,1000011699,BT,1,2,0,0,TRUE
4,BX20,RR1112T702153746F,RE1112T70664200K,13095363,1000011699,BT,1,4,0,0,TRUE
4,BX39,RR1113F401970567R,RE1113F40663772K,13022371,1000003384,BH,1,1,0,0,TRUE
4,BX38,RR11135402218583O,RE1113540659828M,13022354,1000003384,BT,1,1,0,0,TRUE
4,BX11,RR1112RM025501533,RE1112RM0659885C,13086017,1000003564,BT,1,1,0,0,TRUE
4,BX51,RR11142X02599222F,RE11142X06611738,13021835,1000003862,BT,1,2,0,0,TRUE
4,BX51,RR11142X02599222F,RE11142X06611738,13021828,1000003862,BT,1,1,0,0,TRUE
4,BX19,RC1112T608509848E,RE1112T606642584,13083638,1000003198,DUS,120,84,557,46716,FALSE
4,BX14,RR1112RT025528431,RE1112RT06583970,13084869,1000008329,BT,1,1,0,0,TRUE
4,BX22,RR1112T902411716L,RE1112T90664674M,13021496,1000003200,BT,1,5,0,0,TRUE
4,BX33,RR11132P02599581O,RE11132P0661273Q,13022370,1000003384,BT,1,1,0,0,TRUE
4,BX01,RR1112NJ02494653K,RE1112NJ06656684,13089440,1000002358,BT,1,1,0,0,TRUE
4,BX04,RR1112R102476575N,RE1112R10658401P,13084685,1000003862,BT,1,1,0,0,TRUE
4,BX33,RR11132P02599551R,RE11132P06655004,13021648,1000003564,BT,1,1,0,0,TRUE
4,BX11,RR1112RM02173426J,RE1112RM0659090N,13084754,1000003862,BT,1,1,0,0,TRUE
4,BX26,RR1112TH02616778F,RE1112TH0661648D,13021619,1000003564,BT,1,1,0,0,TRUE
4,BX26,RR1112TH02146904P,RE1112TH0661683A,13087670,1000008329,BT,1,2,0,0,TRUE
4,BX26,RR1112TH025693030,RE1112TH0661691A,13084961,1000008329,BT,1,3,0,0,TRUE
4,BX51,RR11142X02429530R,RE11142X06617376,13021687,1000003564,BH,1,1,0,0,TRUE
4,BX51,RR11142X025783377,RE11142X06617474,13021613,1000003564,DUS,1,2,0,0,TRUE
4,BX51,RR11142X023967337,RE11142X06617705,13022284,1000003384,BH,1,1,0,0,TRUE
4,BX51,RR11142X02600893K,RE11142X06617438,13021619,1000003564,BT,1,2,0,0,TRUE
4,BX51,RR11142X02600893K,RE11142X06617438,13021628,1000003564,BT,1,2,0,0,TRUE
4,BX51,RR11142X02600893K,RE11142X06617438,13021631,1000003564,BT,1,1,0,0,TRUE
4,BX51,RR11142X02600893K,RE11142X06617438,13021632,1000003564,BT,1,2,0,0,TRUE
4,BX51,RR11142X02600893K,RE11142X06617438,13021633,1000003564,BT,1,1,0,0,TRUE
4,BX26,RR1112TH02595584C,RE1112TH0661658B,13085497,1000003384,BT,1,3,0,0,TRUE
4,BX51,RR11142X02481151R,RE11142X06617554,13022389,1000003384,BH,1,3,0,0,TRUE
4,BX26,RR1112TH02592840L,RE1112TH06597254,13021828,1000003862,BT,1,1,0,0,TRUE
4,BX26,RR1112TH02592840L,RE1112TH06597254,13083737,1000003862,BT,1,4,0,0,TRUE
4,BX26,RR1112TH02592840L,RE1112TH06597254,13084535,1000003862,BT,1,3,0,0,TRUE
4,BX26,RR1112TH025955975,RE1112TH0661719H,13079673,1000008329,BT,1,1,0,0,TRUE
4,BX26,RR1112TH02616787G,RE1112TH0661672D,13079673,1000008329,BT,1,5,0,0,TRUE
4,BX26,RR1112TH02616787G,RE1112TH0661672D,13084961,1000008329,BT,1,4,0,0,TRUE
4,BX26,RR1112TH02616787G,RE1112TH0661672D,13084960,1000008329,BT,1,3,0,0,TRUE
4,BX26,RR1112TH02616787G,RE1112TH0661672D,13086020,1000008329,BT,1,5,0,0,TRUE
4,BX51,RR11142X02599222F,RE11142X0661777Q,13021828,1000003862,BT,1,1,0,0,TRUE
4,BX12,RR1112RP025811976,RE1112RP0658394C,13083737,1000003862,BT,1,1,0,0,TRUE
4,BX20,RC1112T709132944L,RE1112T70661519C,13094055,1000002823,KLG,1,1,370817,370817,FALSE
4,BX51,RR11142X02578326A,RE11142X06617652,13094060,1000008329,BT,1,1,0,0,TRUE
4,BX51,RR11142X02578326A,RE11142X06617652,13084983,1000008329,BT,1,3,0,0,TRUE
4,BX51,RR11142X02578326A,RE11142X06617652,13085482,1000008329,BT,1,1,0,0,TRUE
4,BX51,RR11142X02578326A,RE11142X06617652,13095657,1000008329,BT,1,2,0,0,TRUE
4,BX21,RR1112T802577364B,RE1112T806596978,13022289,1000003384,BT,1,1,0,0,TRUE
4,BX21,RR1112T802577364B,RE1112T806596978,13022335,1000003384,BT,1,2,0,0,TRUE
4,BX21,RR1112T802577364B,RE1112T806596978,13022352,1000003384,BT,1,1,0,0,TRUE
4,BX21,RR1112T802577364B,RE1112T806596978,13022382,1000003384,BT,1,2,0,0,TRUE
4,BX21,RR1112T802577364B,RE1112T806596978,13022387,1000003384,BT,1,1,0,0,TRUE
4,BX21,RR1112T802577364B,RE1112T806596978,13022386,1000003384,BH,1,2,0,0,TRUE
4,BX21,RR1112T802577364B,RE1112T806596978,13085246,1000003384,BT,1,1,0,0,TRUE
4,BX51,RR11142X02481137H,RE11142X06617732,13022282,1000003384,TUB,1,1,0,0,TRUE
4,BX26,RR1112TH025755202,RE1112TH0661655E,13085246,1000003384,BT,1,2,0,0,TRUE
4,BX26,RR1112TH025514525,RE1112TH0661680D,13085482,1000008329,BT,1,1,0,0,TRUE
4,BX51,RR11142X022504041,RE11142X06617616,13079675,1000008329,BT,1,2,0,0,TRUE
4,BX26,RR1112TH02575503Q,RE1112TH0661657C,13077810,1000003384,BT,1,2,0,0,TRUE
4,BX51,RR11142X02510965G,RE11142X06617492,13077614,1000003384,BT,1,1,0,0,TRUE
4,BX51,RR11142X02578332H,RE11142X06617527,13022365,1000003384,BT,1,2,0,0,TRUE
4,BX14,RR1112RT02578588B,RE1112RT06582659,13087672,1000008329,BT,1,2,0,0,TRUE
4,BX51,RR11142X025682199,RE11142X06617670,13094060,1000008329,BT,1,1,0,0,TRUE
4,BX51,RR11142X025682199,RE11142X06617670,13084983,1000008329,BT,1,2,0,0,TRUE
4,BX11,RR1112RM02578492B,RE1112RM06650813,13084868,1000003384,BT,1,2,0,0,TRUE
4,BX25,RR1112TF025259505,RE1112TF06626110,13085276,1000003862,BT,1,1,0,0,TRUE
4,BX39,RR1113F402585080G,RE1113F40663789B,13021619,1000003564,BT,1,1,0,0,TRUE
4,BX26,RR1112TH02384528F,RE1112TH06642963,13085192,1000003862,BT,1,1,0,0,TRUE
4,BX39,RR1113F402568688H,RE1113F40658765A,13083737,1000003862,BT,1,1,0,0,TRUE
4,BX39,RR1113F4024009967,RE1113F40662105B,13085276,1000003862,BT,1,1,0,0,TRUE
4,BX21,RR1112T8025774491,RE1112T80659707P,13087673,1000008329,BT,1,3,0,0,TRUE
4,BX21,RR1112T8025774491,RE1112T80659707P,13086019,1000008329,BT,1,3,0,0,TRUE
4,BX21,RR1112T8025774491,RE1112T80659707P,13084983,1000008329,BT,1,1,0,0,TRUE
4,BX21,RR1112T8025774491,RE1112T80659707P,13086018,1000008329,BT,1,2,0,0,TRUE
4,BX21,RR1112T8025774491,RE1112T80659707P,13087674,1000008329,BT,1,2,0,0,TRUE
4,BX21,RR1112T8025774491,RE1112T80659707P,13095086,1000008329,BT,1,3,0,0,TRUE
4,BX39,RR1113F402536054K,RE1113F40663770M,13022354,1000003384,BT,1,1,0,0,TRUE
4,BX39,RR1113F402536054K,RE1113F40663770M,13022359,1000003384,BT,1,1,0,0,TRUE
4,BX39,RR1113F402536054K,RE1113F40663770M,13022389,1000003384,BH,1,2,0,0,TRUE
4,BX41,RR1113F102228793D,RE1113F10659648G,13085246,1000003384,BT,1,1,0,0,TRUE
4,BX33,RR11132P02579981K,RE11132P0657834G,13085488,1000003925,BT,1,1,0,0,TRUE
4,BX25,RR1112TF01883707H,RE1112TF06579394,13088401,1000011461,BT,1,3,0,0,TRUE
4,BX25,RR1112TF01883707H,RE1112TF06579394,13088398,1000011461,BT,1,2,0,0,TRUE
4,BX25,RR1112TF01883707H,RE1112TF06579394,13088399,1000011461,BT,1,3,0,0,TRUE
4,BX25,RR1112TF01883707H,RE1112TF06579394,13088397,1000011461,BT,1,3,0,0,TRUE
4,BX25,RR1112TF01883707H,RE1112TF06579394,13088396,1000011461,BT,1,3,0,0,TRUE
4,BX39,RR1113F4025498242,RE1113F40663784G,13022289,1000003384,BT,1,1,0,0,TRUE
4,BX19,RR1112T6026040558,RE1112T606634397,13021833,1000003862,BT,1,1,0,0,TRUE
4,BX39,RR1113F402447354C,RE1113F40662480P,13079675,1000008329,BT,1,1,0,0,TRUE
4,BX21,RR1112T802182440Q,RE1112T806597102,13089331,1000008329,BT,1,3,0,0,TRUE
4,BX19,RR1112T602615938B,RE1112T60659937L,13022391,1000003384,BT,1,2,0,0,TRUE
4,BX21,RR1112T802392206I,RE1112T806597031,13022284,1000003384,BH,1,1,0,0,TRUE
4,BX01,RR1112NJ02599879O,RE1112NJ06578545,13021833,1000003862,BT,1,1,0,0,TRUE
4,BX41,RR1113F102396041N,RE1113F10659646I,13022284,1000003384,BH,1,1,0,0,TRUE
4,BX01,RR1112NJ026172648,RE1112NJ06578554,13084245,1000003862,BT,1,2,0,0,TRUE
4,BX39,RR1113F402271024N,RE1113F40663774I,13022352,1000003384,BT,1,1,0,0,TRUE
4,BX34,RR11135N025484646,RE11135N0658042N,13084754,1000003862,BT,1,1,0,0,TRUE
4,BX11,RC1112RM08052907I,RE1112RM0665269P,13015595,1000000043,BT,1,1,161636,161636,FALSE
4,BX32,RR1112TP02404711P,RE1112TP0665379D,13086214,1000009801,BT,1,1,0,0,TRUE
4,BX33,RR11132P02626270L,RE11132P0665522Q,13085349,1000010086,BT,1,2,0,0,TRUE
4,BX39,RR1113F4026248670,RE1113F406621079,13096051,1000003862,BT,1,1,0,0,TRUE
4,BX22,RR1112T902067056J,RE1112T90664676K,13021927,1000002358,BT,1,1,0,0,TRUE
4,BX21,RR1112T802544036P,RE1112T80658436P,13084869,1000008329,BT,1,1,0,0,TRUE
4,BX39,RR1113F402450713F,RE1113F40663782I,13022350,1000003384,BT,1,1,0,0,TRUE
4,BX40,RR1113F2024389537,RE1113F206584122,13022363,1000003384,BH,1,1,0,0,TRUE
4,BX14,RR1112RT025528431,RE1112RT0665566A,13084869,1000008329,BT,1,1,0,0,TRUE
4,BX21,RR1112T802444480P,RE1112T80659687A,13021624,1000003564,BT,1,2,0,0,TRUE
4,BX21,RR1112T802444480P,RE1112T80659687A,13021631,1000003564,BT,1,1,0,0,TRUE
4,BX52,RR1114YY01254950D,RE1114YY06589783,13076744,1000003384,BT,1,2,0,0,TRUE
4,BX14,RR1112RT02332523F,RE1112RT06613215,13021927,1000002358,BT,1,1,0,0,TRUE
